RESOLUÇÃO,CTT,N°,DEMANDA,ATIVO/RECEPTIVO,DIRETOR,BANCO,RESPONSÁVEL,  ,
07/01/2025,236385 ,1,"R$ 4.000,00",ATIVO,JULIO,BV FINANCEIRA,ELISANGELA,RESOLVIDO,SEM DESCONTO
02/01/2025,222865,1,VALORES,ATIVO,JULIO,C6 BANK,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
18/12/2025,224689,1,"R$ 13.800,00",RECEPTIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,SEM DESCONTO
10/01/2025,227473 ,1,VALORES,RECEPTIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,AGUARDANDO PROCURAÇÃO
02/01/2025,217578,2,"R$ 6.000,00",RECEPTIVO,JULIO,OMNI,POLIANA,RESOLVIDO,AGUARDANDO BOLETO
02/01/2025,210131,1,"REVALIDAR BOLETO 15.000,00",RECEPTIVO,ADRIANO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,APROVADO
02/01/2025,230573 ,1,"R$ 21.500,00",ATIVO,JULIO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,226215,2,valores,RECEPTIVO,JULIO,ITAÚ,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,228289,1,"R$ 8.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,188800,1,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
03/01/2025,144401 ,1,"R$ 27.000,00",RECEPTIVO,JULIO,RENNER,ISABELLA,RESOLVIDO,AGUARDANDO A ANÁLISE
02/01/2025,212806,2,"R$ 50.400,00",RECEPTIVO,ANTUNES,BRADESCO,ALANA,RESOLVIDO,SEM DESCONTO
30/12/2025,223160,1,"R$ 7.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,APROVADO
09/01/2025,180687,1,"R$ 5.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APROVADO
02/01/2025,228252,1,"R$ 10.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
08/01/2025,205858,2,VALORES,RECEPTIVO,JULIO,BRADESCO,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,180451,1,VALORES,RECEPTIVO,JULIO,RENNER,LETICIA,RESOLVIDO,APROVADO
02/01/2025,226989,1,"R$ 7.000,00",RECEPTIVO,JULIO,PANAMERICANO,ISABELLA,RESOLVIDO,APROVADO
02/01/2025,192738,3,"VALORES, tem 8 mil]",RECEPTIVO,JULIO,RENNER,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,183281,1,"R$ 5.800,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,234250 ,2,"R$ 15.000,00",RECEPTIVO,JULIO,SANTANDER,BRUNA RAQUEL,RESOLVIDO,APROVADO
02/01/2025,221349,1,valores,RECEPTIVO,JULIO,RCI,ALANA,RESOLVIDO,SEM DESCONTO
02/01/2025,190661,1,valores,RECEPTIVO,JULIO,BRADESCO,ISABELLA,RESOLVIDO,SEM DESCONTO
06/01/2025,136113,1,"R$ 7.000,00",RECEPTIVO,JULIO,SANTANDER,ELISANGELA,RESOLVIDO,TRANSFERÊNCIA
02/01/2025,213208 ,3,"48.000,00 Á 60.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,176597 ,1,"R$ 10.000,00",RECEPTIVO,JULIO,PANAMERICANO,THALISSON,RESOLVIDO,APROVADO
02/01/2025,206086 ,1,"R$ 1.300,00",RECEPTIVO,JULIO,OMNI,LETICIA,RESOLVIDO,AGUARDANDO PROCURAÇÃO
07/01/2025,230654,1,"R$ 1.800,00",RECEPTIVO,JULIO,OMNI,JULIANE,RESOLVIDO,SEM DESCONTO
02/01/2025,213221,2,"R$ 12.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,LETICIA,RESOLVIDO,SEM DESCONTO
02/01/2025,230977 ,1,VERIFICAR SE QUITOU,RECEPTIVO,JULIO,BV FINANCEIRA,ISABELLA,RESOLVIDO,QUITADO CLIENTE
02/01/2025,175687,1,"R$ 7.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,229229 ,2,"R$ 20.000,00",RECEPTIVO,JULIO,GMAC,ALANA,RESOLVIDO,SEM DESCONTO
06/01/2025,207339 ,2,"R$ 7.000,00",RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
02/01/2025,226868,1,"R$ 25.000,00",RECEPTIVO,JULIO,ITAÚ,ISABELLA,RESOLVIDO,SEM DESCONTO
02/01/2025,187350,2,"R$ 7.000,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,187350,2,"R$ 7.000,00",RECEPTIVO,JULIO,BRADESCO,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
06/01/2025,222007,1,valores,RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
02/01/2025,214575 ,3,"R$ 8.000,00",RECEPTIVO,JULIO,RCI,MONYZA,RESOLVIDO,
14/01/2025,226520,2,"R$ 12.000,00",RECEPTIVO,JULIO,OMNI,FELIPE,RESOLVIDO,AGUARDANDO PROCURAÇÃO
02/01/2025,231607,1,VERIFICAR SE O CLIENTE FEZ ACORDO COM O BANCO,RECEPTIVO,JULIO,SANTANDER,BRUNA RAQUEL,RESOLVIDO,REFINANCIAMENTO
02/01/2025,219001,2,valores,RECEPTIVO,JULIO,ITAÚ,LETICIA,RESOLVIDO,SEM DESCONTO
02/01/2025,176593,1,valores,RECEPTIVO,JULIO,ITAÚ,ALANA,RESOLVIDO,
02/01/2025,224857,1,valores,RECEPTIVO,JULIO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,201964,1,"R$ 15.000,00",RECEPTIVO,JULIO,BV FINANCEIRA,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,235195,1,valores,RECEPTIVO,ANTUNES,RCI,FABIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,225707,1,valores,RECEPTIVO,JULIO,BV FINANCEIRA,MONYZA,RESOLVIDO,
02/01/2025,200020,1,"RECEBEU UMA PROPSOTA DE 21 MIL, ATUALIZAR NO SISTEMA",RECEPTIVO,JULIO,SANTANDER,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
03/01/2025,155329,1,valores,RECEPTIVO,JULIO,SANTANA,POLIANA,RESOLVIDO,AGUARDANDO BOLETO
02/01/2025,172851,2,"R$ 4.500,00",ATIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,SEM DESCONTO
02/01/2025,195670,2,VALORES,ATIVO,JULIO,BRADESCO,LETICIA,RESOLVIDO,SEM DESCONTO
06/01/2025,234495 ,1,"R$ 6.000,00",RECEPTIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
02/01/2025,237826,1,valores,ATIVO,JULIO,BV FINANCEIRA,VICTOR ADRIANO ,RESOLVIDO,
02/01/2025,155654,2,"R$ 1.700,00",RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,224396,1,"R$ 10.962,50",RECEPTIVO,JULIO,ITAÚ,THALISSON,RESOLVIDO,SEM DESCONTO
02/01/2025,199249,2,"R$ 6.300,00",RECEPTIVO,ANTUNES,SANTANDER,BRUNA RAQUEL,RESOLVIDO,SEM DESCONTO
02/01/2025,172646,1,"R$ 21.000,00",RECEPTIVO,JULIO,BRADESCO,FABIANA,RESOLVIDO,APROVADO
06/01/2025,088143,2,valores,RECEPTIVO,JULIO,BV FINANCEIRA,,RESOLVIDO,CANCELADO
06/01/2025,214749,1,"R$ 15.000,00",RECEPTIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,SEM DESCONTO
20/01/2025,203277,2,valores,RECEPTIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,APROVADO
02/01/2025,230427,1,"R$5.900,00",ATIVO,JULIO,SANTANDER,ADRIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,190699,2,VERIFICAR SE FORMALIZOU ACORDO,RECEPTIVO,JULIO,BV FINANCEIRA,BRUNO MARIANO,RESOLVIDO,SEM DESCONTO
02/01/2025,20511,1,"CLIENTE INFORMOU QUE VEICULO NÃO FOI APREENDIDO, E JÁ QUITOU, VERIFICAR ",RECEPTIVO,JULIO,SAFRA,LETICIA,RESOLVIDO,APREENDIDO
02/01/2025,163995,1,"R$ 5.000,00",RECEPTIVO,JULIO,BRADESCO,POLIANA,RESOLVIDO,APROVADO
02/01/2025,203430,2,VALORES,RECEPTIVO,JULIO,PANAMERICANO,ALANA,RESOLVIDO,SEM DESCONTO
06/01/2025,130879,1,VERIFICAR SE QUITOU ,RECEPTIVO,JULIO,PANAMERICANO,ANA LIDIA,RESOLVIDO,QUITADO CLIENTE
07/01/2025,130865,1,VERIFICAR SE QUITOU ,RECEPTIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,QUITADO EMPRESA
09/01/2025,130801,1,VERIFICAR SE QUITOU ,RECEPTIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,QUITADO EMPRESA
30/12/2025,206478,2,VALORES,RECEPTIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,AGUARDANDO COMPROVANTE
06/01/2025,223429,1,"R$5.500,00",RECEPTIVO,JULIO,BV FINANCEIRA,FELIPE,RESOLVIDO,SEM DESCONTO
02/01/2025,218041,1,"6.000,00",RECEPTIVO,JULIO,SANTANDER,THALISSON,RESOLVIDO,SEM DESCONTO
06/01/2025,216960,2,valores,RECEPTIVO,ANTUNES,RENNER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
06/01/2025,215255,4,"10.000,00",RECEPTIVO,JULIO,SANTANDER,ANA LIDIA,RESOLVIDO,APROVADO
07/01/2025,197386,3,valores,RECEPTIVO,JULIO,RCI,NUNO,RESOLVIDO,
06/01/2025,220627,1,"7.500,00",RECEPTIVO,ANTUNES,SANTANDER,ALINE,RESOLVIDO,SEM DESCONTO
07/01/2025,214074,1,valores,RECEPTIVO,JULIO,ITAÚ,ELISANGELA,RESOLVIDO,SEM DESCONTO
08/01/2025,88143,2,valores,RECEPTIVO,JULIO,BV FINANCEIRA,FELIPE,RESOLVIDO,CANCELADO
08/01/2025,198580,4,"5.200,00",RECEPTIVO,JULIO,OMNI,JULIANE,RESOLVIDO,SEM DESCONTO
08/01/2025,192738,3,"10.000,00",RECEPTIVO,ANTUNES,RENNER,LUARA,RESOLVIDO,
08/01/2025,193702,1,valores,RECEPTIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
02/01/2025,129986,1,50% á 80%,ATIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,CANCELADO
10/01/2025,98931,1,50% á 80%,ATIVO,JULIO,VOLKSWAGEN,POLIANA,RESOLVIDO,QUITADO CLIENTE
13/01/2025,177999,1,50% á 80%,ATIVO,JULIO,BRADESCO,POLIANA,RESOLVIDO,APROVADO
13/01/2025,202082,1,50% á 80%,ATIVO,JULIO,BRADESCO,THALISSON,RESOLVIDO,SEM DESCONTO
13/01/2025,128684,1,50% á 80%,ATIVO,JULIO,OMNI,IGOR,RESOLVIDO,APROVADO
14/01/2025,178931,2,50% á 80%,ATIVO,JULIO,RENNER,FELIPE,RESOLVIDO,EM ACORDO
14/01/2025,182620,1,50% á 80%,ATIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,SEM DESCONTO
15/01/2025,221479,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,LUARA,RESOLVIDO,
20/01/2025,219910,2,50% á 80%,ATIVO,JULIO,OMNI,POLIANA,RESOLVIDO,SEM DESCONTO
20/01/2025,180088,1,50% á 80%,ATIVO,JULIO,OMNI,JULIANE,RESOLVIDO,AGUARDANDO PROCURAÇÃO
21/01/2025,97130,1,50% á 80%,ATIVO,JULIO,OMNI,FELIPE,RESOLVIDO,AGUARDANDO PROCURAÇÃO
22/01/2025,167715,2,50% á 80%,ATIVO,JULIO,RENNER,MATHEUS,RESOLVIDO,APROVADO
22/01/2025,192564,1,50% á 80%,ATIVO,JULIO,BRADESCO,NUNO,RESOLVIDO,APROVADO
22/01/2025,55290,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,IGOR,RESOLVIDO,CANCELADO SEM FINALIZAR
02/01/2025,172787,1,50% á 80%,ATIVO,JULIO,SANTANDER,POLIANA,RESOLVIDO,CANCELADO
03/01/2025,182012,3,50% á 80%,ATIVO,JULIO,SANTANDER,ADRIANO,RESOLVIDO,SEM DESCONTO
03/01/2025,221011,3,50% á 80%,ATIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,APROVADO
07/01/2025,219402,1,"R$ 3.481,00",ATIVO,JULIO,PANAMERICANO,JULIANE,RESOLVIDO,APROVADO
07/01/2025,222246,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,135482,2,50% á 80%,ATIVO,JULIO,VOLKSWAGEN,FELIPE,RESOLVIDO,AT DE PARCELAS
08/01/2025,193817,2,50% á 80%,ATIVO,JULIO,RENNER,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,196159,3,50% á 80%,ATIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,EM ACORDO
09/01/2025,204131,1,50% á 80%,ATIVO,JULIO,ITAÚ,POLIANA,RESOLVIDO,SEM DESCONTO
13/01/2025,221676,2,50% á 80%,ATIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,CANCELADO
13/01/2025,222260,1,50% á 80%,ATIVO,JULIO,OMNI,JULIANE,RESOLVIDO,
20/01/2025,155425,1,50% á 80%,ATIVO,JULIO,RCI,YURI,RESOLVIDO,QUITADO CLIENTE
21/01/2025,103062,2,50% á 80%,ATIVO,JULIO,SANTANA,FELIPE,RESOLVIDO,SEM DESCONTO
22/01/2025,218688,1,50% á 80%,ATIVO,JULIO,SANTANDER,FELIPE,RESOLVIDO,SEM DESCONTO
06/01/2025,218317,1,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,CANCELADO
07/01/2025,190728,1,50% á 80%,ATIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,SEM DESCONTO
08/01/2025,49726,1,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,SEM DESCONTO
13/01/2025,182711,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,APROVADO
13/01/2025,139655,1,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,SEM DESCONTO
15/01/2025,214421,1,50% á 80%,ATIVO,JULIO,BRADESCO,ANA GESSICA,RESOLVIDO,SEM DESCONTO
16/01/2025,185802,1,50% á 80%,ATIVO,JULIO,SANTANA,THALISSON,RESOLVIDO,SEM DESCONTO
17/01/2025,201392,1,50% á 80%,ATIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,SEM DESCONTO
17/01/2025,80081,1,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,SEM DESCONTO
17/01/2025,181951,1,50% á 80%,ATIVO,JULIO,OMNI,IGOR,RESOLVIDO,
21/01/2025,79018,1,50% á 80%,ATIVO,JULIO,OMNI,FELIPE,RESOLVIDO,AGUARDANDO PROCURAÇÃO
21/01/2025,139615,1,50% á 80%,ATIVO,JULIO,BRADESCO,FELIPE,RESOLVIDO,AGÊNCIA
02/01/2025,222329,1,50% Á 80%,ATIVO,JULIO,SANTANDER,ALINE,RESOLVIDO,
02/01/2025,186409,1,50% á 80%,ATIVO,JULIO,ITAÚ,NUNO,RESOLVIDO,
06/01/2025,134160,1,50% á 80%,ATIVO,JULIO,OMNI,ELISANGELA,RESOLVIDO,CANCELADO
07/01/2025,131625,1,50% á 80%,ATIVO,JULIO,SAFRA,JULIANE,RESOLVIDO,SEM DESCONTO
17/01/2025,213142,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,ALINE,RESOLVIDO,SEM DESCONTO
23/01/2025,135305,1,50% á 80%,ATIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,APROVADO
02/01/2025,205007,1,50% á 80%,ATIVO,JULIO,ITAÚ,NUNO,RESOLVIDO,APROVADO
02/01/2025,207568,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
03/01/2025,90573,1,50% á 80%,ATIVO,JULIO,SANTANDER,ADRIANO,RESOLVIDO,APROVADO
06/01/2025,218042,1,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,CANCELADO
06/01/2025,219139,1,50% á 80%,ATIVO,JULIO,SANTANA,ELISANGELA,RESOLVIDO,SEM DESCONTO
06/01/2025,186871,1,50% á 80%,ATIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
07/01/2025,198084,1,50% á 80%,ATIVO,JULIO,BRADESCO,ANA LIDIA,RESOLVIDO,QUITADO EMPRESA
08/01/2025,141034,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,POLIANA,RESOLVIDO,APROVADO
08/01/2025,142265,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,ANA LIDIA,RESOLVIDO,APREENDIDO
08/01/2025,144013,1,50% á 80%,ATIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,SEM DESCONTO
09/01/2025,217911,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,FELIPE,RESOLVIDO,APROVADO
10/01/2025,220597,2,50% á 80%,ATIVO,JULIO,SANTANDER,YURI,RESOLVIDO,APROVADO
10/01/2025,54205,1,50% á 80%,ATIVO,JULIO,BRADESCO,YURI,RESOLVIDO,AGÊNCIA
10/01/2025,118798,1,50% á 80%,ATIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
13/01/2025,200852,3,50% á 80%,ATIVO,JULIO,OMNI,JULIANE,RESOLVIDO,SEM DESCONTO
14/01/2025,187487,1,50% á 80%,ATIVO,JULIO,SANTANDER,YURI,RESOLVIDO,INFORMAÇÕES 
15/01/2025,187297,1,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,APROVADO
16/01/2025,123441,1,50% á 80%,ATIVO,JULIO,OMNI,POLIANA,RESOLVIDO,SEM DESCONTO
16/01/2025,198770,1,50% á 80%,ATIVO,JULIO,OMNI,POLIANA,RESOLVIDO,SEM DESCONTO
17/01/2025,217993,1,50% á 80%,ATIVO,JULIO,BV FINANCEIRA,NUNO,RESOLVIDO,CANCELADO
20/01/2025,141002,2,50% á 80%,ATIVO,JULIO,BRADESCO,ELISANGELA,RESOLVIDO,SEM DESCONTO
20/01/2025,139894,1,50% á 80%,ATIVO,JULIO,OMNI,POLIANA,RESOLVIDO,EM ACORDO
20/01/2025,63024,1,50% á 80%,ATIVO,JULIO,BRADESCO,ALINE,RESOLVIDO,
20/01/2025,131525,1,50% á 80%,ATIVO,JULIO,OMNI,POLIANA,RESOLVIDO,SEM DESCONTO
20/01/2025,178628,2,50% á 80%,ATIVO,JULIO,OMNI,ANA LIDIA,RESOLVIDO,SEM DESCONTO
22/01/2025,152555,1,50% á 80%,ATIVO,JULIO,BRADESCO,JULIANE,RESOLVIDO,SEM DESCONTO
21/01/2025,166577,1,50% á 80%,ATIVO,JULIO,OMNI,FELIPE,RESOLVIDO,APROVADO
22/01/2025,186337,1,50% á 80%,ATIVO,JULIO,BRADESCO,ANA GESSICA,RESOLVIDO,APROVADO
02/01/2025,203833,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,ELISANGELA,RESOLVIDO,APROVADO
02/01/2025,205995,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,SEM DESCONTO
02/01/2025,212880,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,SEM DESCONTO
03/01/2025,202012,1,50% á 80%,ATIVO,JULIO,SANTANDER,ADRIANO,RESOLVIDO,APROVADO
03/01/2025,206438,1,50% á 80%,ATIVO,REVERSÃO,SANTANDER,ADRIANO,RESOLVIDO,APROVADO
03/01/2025,207090,1,50% á 80%,ATIVO,JULIO,SANTANDER,ELISANGELA,RESOLVIDO,APROVADO
06/01/2025,208496,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,JULIANE,RESOLVIDO,APROVADO
06/01/2025,207638,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
06/01/2025,200636,1,50% á 80%,ATIVO,JULIO,PANAMERICANO,POLIANA,RESOLVIDO,APROVADO
